track_name,artists,cover_url
"préludes / book 1, l. 117: 8. la fille aux cheveux de lin",claude debussy,https://i.scdn.co/image/ab67616d0000b2730c425c9d96fa6f4342a248e0
a última,mc kevin,https://i.scdn.co/image/ab67616d0000b2732b2ca9932202420913894efd
die with a smile,lady gaga,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45
show,jaksi taksi,https://i.scdn.co/image/ab67616d0000b273e93dc3bbc4e413bfb9ee3a38
day one,hans zimmer,https://i.scdn.co/image/ab67616d0000b273ac29a65e7ffcfa6f9cb0d342
dona,luan santana,https://i.scdn.co/image/ab67616d0000b273a5a67085591d0a13f5e54ec6
trouble sleeping,the perishers,https://i.scdn.co/image/ab67616d0000b273d818c8a43c1571ea5187bc2e
i want it all - remastered 2011,queen,https://i.scdn.co/image/ab67616d0000b27327fda1adf296f242416b4230
i choose you,sara bareilles,https://i.scdn.co/image/ab67616d0000b273022b4010e20659300f42c375
spit it out,slipknot,https://i.scdn.co/image/ab67616d0000b27349de1b4acdde02e84c6023b7
coração partido (corazón partío) (ao vivo),grupo menos é mais,https://i.scdn.co/image/ab67616d0000b273ebdb1b9e90bc232b97a48410
venom,little simz,https://i.scdn.co/image/ab67616d0000b27308fd43f4ba0708fa58dd2805
something there,emma watson,https://i.scdn.co/image/ab67616d0000b273fac61ec6ab51254a1a4ee6b1
lembrança boa - ao vivo,henrique & juliano,https://i.scdn.co/image/ab67616d0000b273908c9364b91953b3d9a8a4b7
expectativas,3030,https://i.scdn.co/image/ab67616d0000b2739a4d6d558e476b68af6f6ec4
desperdício,japinha conde,https://i.scdn.co/image/ab67616d0000b273009b97c6efddf049e37a7dd2
you say run,yuki hayashi,https://i.scdn.co/image/ab67616d0000b273b8bf049db6f5b729d68e979c
"lyric pieces i, op. 12 (excerpts): no. 5, folkevise",edvard grieg,https://i.scdn.co/image/ab67616d0000b273440ce98efd7dde9ab507193c
beautiful things,benson boone,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40
stay right where you are,ingrid michaelson,https://i.scdn.co/image/ab67616d0000b27321fe8f8afd05473d046bd54b
tem culpa eu?,mc luuky,https://i.scdn.co/image/ab67616d0000b2737d3d47033343b58749ec0a6a
ausência - ao vivo,bruno & marrone,https://i.scdn.co/image/ab67616d0000b2734b6df272cd76a5faf3966c7a
blue bird (naruto) - trap remix,musicality,https://i.scdn.co/image/ab67616d0000b27374346229ccdca69f61b3d828
sujeito homem ao vivo,guilherme & benuto,https://i.scdn.co/image/ab67616d0000b27365bf696c1df34686746b73c4
fool,frad,https://i.scdn.co/image/ab67616d0000b2733d93cb8b9054a2f0f4017f8e
dois enganados,murilo huff,https://i.scdn.co/image/ab67616d0000b273f780a237b116b5decb468d75
vuelve a ti,miranda!,https://i.scdn.co/image/ab67616d0000b273143c72a64d265868dcc0dbc6
searching for salt,lorne balfe,https://i.scdn.co/image/ab67616d0000b2735de94c3c47f36792563271c5
city lights (tengen uzui rap),rustage,https://i.scdn.co/image/ab67616d0000b2736b9b14a946b824fd98201915
infinity,jaymes young,https://i.scdn.co/image/ab67616d0000b273a9897f65d1ead1be10a51e3f
save your tears,the weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
lost sparks,canyon city,https://i.scdn.co/image/ab67616d0000b273b823a91b9c5379eb6f394de0
melancholy,jisatsu,https://i.scdn.co/image/ab67616d0000b273e1b630c14a4fdba7d68283e9
sufocado / volta pra mim / alô - ao vivo,clayton & romário,https://i.scdn.co/image/ab67616d0000b2735e74d125f754eb813b529ddc
lucky,jason mraz,https://i.scdn.co/image/ab67616d0000b27333091fbb40edc2249e682bf2
akatsuki,rustage,https://i.scdn.co/image/ab67616d0000b27362a0aa65de225342a5a84ee8
incerteza - na praia / ao vivo,matheus & kauan,https://i.scdn.co/image/ab67616d0000b2737d96c3456ae2572847148954
path of the wind (my neighbor totoro lofi),luvbyrd,https://i.scdn.co/image/ab67616d0000b2731a1dbb56e12075782daf8911
incerteza - ao vivo,matheus & kauan,https://i.scdn.co/image/ab67616d0000b2737d96c3456ae2572847148954
céu particular - ao vivo,henrique & juliano,https://i.scdn.co/image/ab67616d0000b273717a191d0dd76669487ccaac
guess featuring billie eilish,charli xcx,https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47
private party,anirudh ravichander,https://i.scdn.co/image/ab67616d0000b2730f96a99f9bc0e40a0ccf4340
sofrimento simultâneo,gusttavo lima,https://i.scdn.co/image/ab67616d0000b273508a46785330637f951610e8
vai te botar,mc guto vgs,https://i.scdn.co/image/ab67616d0000b273d6a4be3e69aeee46a79db9ec
千夜,yasuharu takanashi,https://i.scdn.co/image/ab67616d0000b273f9f0edfe58bbb6e3c44e574f
instinto animal,zé henrique & gabriel,https://i.scdn.co/image/ab67616d0000b2732ae6e2c98c101a0c5bb8ab48
silverio,guitarras de luna,https://i.scdn.co/image/ab67616d0000b273290aef41971b0babac15a433
motinha 2.0 (mete marcha),dennis,https://i.scdn.co/image/ab67616d0000b27335e87ed4b455d3d50f3d6eaf
quem vai ter coragem ao vivo,turma do pagode,https://i.scdn.co/image/ab67616d0000b273ecf29b9ef1dad507b510323a
hang on,raimu,https://i.scdn.co/image/ab67616d0000b273b73fb82c133e1510570f3275
irony,majiko,https://i.scdn.co/image/ab67616d0000b273f672cfe50a513713ea7cdc85
lost in the echo,linkin park,https://i.scdn.co/image/ab67616d0000b273987fb4c5ec8790e9f637a4a4
cacos de vidro (sample: esperar pra ver),bk,https://i.scdn.co/image/ab67616d0000b273c078b8ed0b04b814d7457646
road trippin',red hot chili peppers,https://i.scdn.co/image/ab67616d0000b273a9249ebb15ca7a5b75f16a90
true friends,bring me the horizon,https://i.scdn.co/image/ab67616d0000b273413697269620e16f4466f543
killer,fka twigs,https://i.scdn.co/image/ab67616d0000b27314aee4f383a0e9f4ec5d90c8
b-town (feat. sunny malton),sidhu moose wala,https://i.scdn.co/image/ab67616d0000b2735f380b28676d915213173f7b
power of mujin park,alisa okehazama,https://i.scdn.co/image/ab67616d0000b273dfd14881e19396532ea5789e
frank sinatra,miss kittin,https://i.scdn.co/image/ab67616d0000b273283816efe2347c5fa0a9316b
relaxa o coração - ao vivo,henrique & juliano,https://i.scdn.co/image/ab67616d0000b27350eb8b741c09b9159338fa9f
akatsuki,beau.,https://i.scdn.co/image/ab67616d0000b2732d497690a76b01aa3a9c086c
given up,linkin park,https://i.scdn.co/image/ab67616d0000b2736e996745f2c7b8036abef213
"i believed you, william blake",frank turner,https://i.scdn.co/image/ab67616d0000b273a2657b24c3c90e7fac7d1c99
hagoromo,susumu yokota,https://i.scdn.co/image/ab67616d0000b273f896a61618354b61f928f3ad
meu poeta / ainda é tempo pra ser feliz / termina aqui - ao vivo,arlindo cruz,https://i.scdn.co/image/ab67616d0000b2730491d7730edce36fa3aeedc4
pero,zack tabudlo,https://i.scdn.co/image/ab67616d0000b27373463438a1d335c0c1f9358a
tubarões ao vivo,diego & victor hugo,https://i.scdn.co/image/ab67616d0000b273dec04b819cf8d034390815a8
sofrimento simultâneo ao vivo,gusttavo lima,https://i.scdn.co/image/ab67616d0000b273508a46785330637f951610e8
million dollar baby,tommy richman,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f
形勢逆転,yasuharu takanashi,https://i.scdn.co/image/ab67616d0000b273d911e43123678e12f4eb2823
baladinha rural - ao vivo,us agroboy,https://i.scdn.co/image/ab67616d0000b27371e785734c83e5666542f7d3
bad habits - joel corry remix,ed sheeran,https://i.scdn.co/image/ab67616d0000b2735729709721ac163ad2b8dfac
"tonight, not again",jason mraz,https://i.scdn.co/image/ab67616d0000b2733a26f1255146a18c369ac927
house of memories,panic! at the disco,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a
contar pra quê - ao vivo,henrique & juliano,https://i.scdn.co/image/ab67616d0000b2735bb6668a856035550a66fc31
stuck with u - acoustic,jonah baker,https://i.scdn.co/image/ab67616d0000b273254ec30082e3ecb003c9d3af
"nocturne in c-sharp minor, b. 49, op. posth",gregor piatigorsky,https://i.scdn.co/image/ab67616d0000b273db6f2a7125f7c95b8c05cb27
saveiro,kaique e felipe,https://i.scdn.co/image/ab67616d0000b2738918fa0c3cf355061519f67c
l no theme b,hideki taniuchi,https://i.scdn.co/image/ab67616d0000b273d4cafdffd73a6d7bdb4a1439
iris - acoustic,adam christopher,https://i.scdn.co/image/ab67616d0000b273590690528490270ec11c5f21
like that,future,https://i.scdn.co/image/ab67616d0000b2731729574fe2a8e391a2ce1ece
i drive,cliff martinez,https://i.scdn.co/image/ab67616d0000b2732c8ba8e2fbf531bbb9cd1a48
dandelions,ruth b.,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707
nord,kettel,https://i.scdn.co/image/ab67616d0000b273a4fe8d7d8d97881894d39ea2
night,ludovico einaudi,https://i.scdn.co/image/ab67616d0000b273494e91bfd7692054715ba845
the fear,the bridge city sinners,https://i.scdn.co/image/ab67616d0000b273b8604cfd1fa43e07d5e2dcb4
só quero ver,bk,https://i.scdn.co/image/ab67616d0000b273c078b8ed0b04b814d7457646
apaga apaga apaga (ao vivo),danilo e davi,https://i.scdn.co/image/ab67616d0000b2730d5f00c853be5debb5eba851
samidare,feora,https://i.scdn.co/image/ab67616d0000b2731dec78b122752187bdac64fe
silhouette (naruto shippuden),otaku,https://i.scdn.co/image/ab67616d0000b273cbd6575a821e3a9bee15fc93
odd future,uverworld,https://i.scdn.co/image/ab67616d0000b273045178c05066b0714f00463a
avisa que é o funk,mc hariel,https://i.scdn.co/image/ab67616d0000b273311c610608c1d456c793c2f0
diferentão (ao vivo),dilsinho,https://i.scdn.co/image/ab67616d0000b273ba23d8f79f2d1429fa299405
luther,kendrick lamar,https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531
are you lonesome tonight?,elvis presley,https://i.scdn.co/image/ab67616d0000b27352cbfb62c42adc19d5637843
voltável (ao vivo),ícaro e gilmar,https://i.scdn.co/image/ab67616d0000b273b50c53c63add89ae6fc1a168
blue bird (naruto) - trap remix,musicality,https://i.scdn.co/image/ab67616d0000b27374346229ccdca69f61b3d828
"unravel (from ""tokyo ghoul"") - lofi remix",kenma,https://i.scdn.co/image/ab67616d0000b273ba9740105402af8068507b49
